Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-GEO,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,07/12/2017,600,2015,15-08-54-0413,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-GER,MAULE AIRCRAFT CORPORATION,MAULE MX-7-180A,LAND AEROPLANE,06/11/1998,1089,1993,20006C,LYCOMING,O-360,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GEU,THE BOEING COMPANY,BOEING 777-31HER,LAND AEROPLANE,13/06/2018,340194,2006,32710,GENERAL ELECTRIC COMPANY,GE90-115B,2,SASOF V (A1) AVIATION IRELAND DESIGNATED ACTIVITY COMPANY,"CONNAUGHT HOUSE, 1 BURLINGTON ROAD, DUBLIN 4, DUBLIN,"
EI-GEY,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,06/04/2018,233000,2001,441,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GFR,THE BOEING COMPANY,BOEING 737-7CT,LAND AEROPLANE,22/03/2018,70080,2010,37421,CFM,CFM56-7B22/3,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GFV,SOCIETE WASSMER AVIATION,JODEL D112,LAND AEROPLANE,30/05/2018,530,1963,1175,CONTINENTAL MOTORS CORP.,A65-8F,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GGE,BRM-CONSTRUCOES AERONAUTICAS LDA,LAND AFRICA (CITIUS),ANNEX I 1(E) / 450 KG,02/05/2018,450,2007,0004/07,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GGV,THRUSTER AIR SERVICES LTD,THRUSTER TST MK1,ANNEX I 1(E) / 450 KG,04/06/2019,361,1987,867-TST-024,ROTAX,503,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-GGX,CZECH SPORT AIRCRAFT AS,ZENAIR CH 601 UL,ANNEX I 1(E) / HOMEBUILD 450 KG,23/10/2018,450,2008,00006,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-GGY,P AND M AVIATION LTD,QUIK GT450 LITE,ANNEX I 1(E) / 450 KG,18/09/2019,450,2018,8775,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"MEATH, WESTMEATH,"
EI-GHA,THE BOEING COMPANY,BOEING 737-490,LAND AEROPLANE,10/10/2018,65090,1999,28895,CFM,CFM56-3C1,2,AIRCRAFT 23810 QC HOLDINGS LIMITED,"26 PEMBROKE STREET UPPER, DUBLIN 2,"
EI-GHB,THE BOEING COMPANY,BOEING 737-490,LAND AEROPLANE,06/09/2018,65090,1999,28896,CFM,CFM56-3C1,2,AIRCRAFT 23810 QC HOLDINGS LIMITED,"26 PEMBROKE STREET UPPER, DUBLIN 2,"
EI-GHC,THE BOEING COMPANY,BOEING 737-490,LAND AEROPLANE,03/04/2019,65090,1999,30161,CFM,CFM56-3C1,2,AIRCRAFT 23810 QC HOLDINGS LIMITED,"26 PEMBROKE STREET UPPER, DUBLIN 2,"
EI-GHH,EUROPA AIRCRAFT,EUROPA,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,09/11/2018,622,1995,PFA 247-12666,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"CORK,"
EI-GHI,PIPER AIRCRAFT INC,PIPER PA-22-150,LAND AEROPLANE,17/10/2018,907,1957,22-5181,LYCOMING,O-320-A2B,1,BOYNE AIRCRAFT HOLDINGS LIMITED,"29 THE ISLAND, TEMPLE WOOD, CARTON DEMENSE, MAYNOOTH, CO. KILDARE,"
EI-GHR,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,15/03/2019,600,2018,18-10-54-0637,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GHS,ICP s.r.l.,VENTURA,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,03/04/2019,750,2018,18-07-62-0009R,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GHU,LEONARDO S.p.A. HELICOPTERS,AW119MKII,ROTORCRAFT,15/01/2019,2850,2011,14780,PRATT & WHITNEY CANADA,PT6B-37A,1,PERSPECT AVIATION DESIGNATED ACTIVITY COMPANY,"TERRYSLAND, CARRIGTWOHILL, CO. CORK,"
EI-GHW,BELL HELICOPTER TEXTRON,BELL 505,ROTORCRAFT,06/02/2019,1669,2018,65155,SAFRAN HELICOPTER ENGINES,ARRIUS 2R,1,YOYO CAPITAL UNLIMITED COMPANY,"5 SAINT JAMES TERRACE, CLONSKEAGH ROAD, DUBLIN 6,"
EI-GHZ,TEXTRON AVIATION INC.,CESSNA 208 (CARAVAN) 208B,LAND AEROPLANE,21/11/2018,3995,2017,208B5405,PRATT & WHITNEY CANADA,PT6A-140,1,GROB POWER SERVICE LIMITED,"3rd FLOOR, ULYSSES HOUSE, FOLEY STREET, DUBLIN 1,"
EI-GIH,THE BOEING COMPANY,BOEING 737-86N,LAND AEROPLANE,27/03/2019,79015,2005,32659,CFM,CFM56-7B26,2,RISE AVIATION 1 (IRELAND) LIMITED,"UNIT J BLOCK 1, SHANNON BUSINESS PARK, SHANNON, CO. CLARE,"
EI-GIJ,VANS,VANS RV-9,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,22/01/2019,794,2016,2002495,LYCOMING,IO-320-D1A,1,PRIVATE INDIVIDUAL,"KERRY,"
EI-GIO,MAGNI GYRO LIMITED,MAGNI VPM M16 (MODIFIED),GYROCOPTER,22/01/2019,450,1995,PFA G/12-1251,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-GIR,SKYRANGER,SKYRANGER 912S(1),ANNEX I 1(E) / 450 KG,28/06/2019,450,2018,17121123,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LAOIS,"
EI-GIU,CESSNA AIRCRAFT COMPANY,CESSNA F172N,LAND AEROPLANE,03/09/2019,1043,1980,F17202003,LYCOMING,O-320-H2AD,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-GJL,EUROCOPTER,AS365N3,ROTORCRAFT,27/05/2008,4300,2007,6785,TURBOMECA,ARRIEL 2C,2,ANGLO BEEF PROCESSORS IRELAND PRIVATE UNLIMITED COMPANY,"14 CASTLE STREET, ARDEE, CO. LOUTH,"
EI-GJS,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,26/04/2018,66990,2018,44836,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GJT,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,01/05/2018,66990,2018,44837,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GKN,CESSNA AIRCRAFT COMPANY,CESSNA 172S,LAND AEROPLANE,05/03/2019,1157,2007,172S10480,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-GKZ,MAINAIR SPORTS LTD,GEMINI FLASH II,ANNEX I 1(E) / 450 KG,16/09/2019,370,1986,494-1086-4-W296,ROTAX,503,1,PRIVATE INDIVIDUAL,"LOUTH,"
EI-GLB,ALEXANDER SCHLEICHER GMBH & CO,ASK 21,SAILPLANE,28/03/2007,600,1981,21060,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GLC,SOCIETE NOUVELLE CENTRAIR,CENTRAIR 101A,SAILPLANE,28/03/2007,455,1984,101-102,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GLD,ALEXANDER SCHLEICHER GMBH & CO,AS-K 13,SAILPLANE,28/03/2007,480,1969,13131,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GLF,ALEXANDER SCHLEICHER GMBH & CO,K 8 B,SAILPLANE,28/03/2007,310,1965,8468,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GLG,ALEXANDER SCHLEICHER GMBH & CO,KA 6 CR,SAILPLANE,25/09/2009,300,1959,662,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GLH,AB SPORTINE AVIACIJA,LAK-17A,SAILPLANE,28/03/2007,500,2002,136,,,0,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-GLL,GLASER-DIRKS FLUGZEUGBAU GMBH,DG-200,SAILPLANE,28/03/2007,450,1978,2-22,,,0,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-GLM,ALEXANDER SCHLEICHER GMBH & CO,KA 6 CR,SAILPLANE,28/03/2007,300,1966,6565,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GLO,SCHEIBE FLUGZEUGBAU GMBH,SCHEIBE ZUGVOGEL III B,SAILPLANE,28/03/2007,365,1963,1085,,,0,PRIVATE INDIVIDUAL,"LAOIS,"
EI-GLP,ELLIOTS OF NEWBURY,EON OLYMPIA 2B,SAILPLANE,28/03/2007,305,1962,EON-O-155,,,0,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-GLT,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,DISCUS B,SAILPLANE,04/05/2007,525,1988,219,,,0,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-GLU,ALEXANDER SCHLEICHER GMBH & CO,KA 6 CR,SAILPLANE,28/03/2007,300,1960,808,,,0,PRIVATE INDIVIDUAL,"DUBLIN, MEATH,"
EI-GLV,ALEXANDER SCHLEICHER GMBH & CO,ASW 19 B,SAILPLANE,28/03/2007,454,1980,19316,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GLZ,ALEXANDER SCHLEICHER GMBH & CO,ASK 21,SAILPLANE,17/12/2018,600,1987,21332,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GMB,ALEXANDER SCHLEICHER GMBH & CO,ASW 17,SAILPLANE,28/03/2007,570,1974,17031,,,0,ASW-17 GROUP,"DUBLIN,"
EI-GMC,ALEXANDER SCHLEICHER GMBH & CO,ASK 18,SAILPLANE,20/09/2007,335,1975,18007,,,0,THE EIGHTEEN GROUP,"DUBLIN,"
EI-GMD,WAGGON UND MASCHINENBAU AG,PHOEBUS C,SAILPLANE,28/03/2007,375,1968,908,,,0,PRIVATE INDIVIDUAL,"GALWAY, WICKLOW,"
EI-GMF,ALEXANDER SCHLEICHER GMBH & CO,AS-K 13,SAILPLANE,28/03/2007,480,1969,13189,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GMG,GLASFLUGEL ING EUGEN HANLE,STANDARD LIBELLE 201 B,SAILPLANE,11/02/2019,350,1971,180,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GMH,JAGGER DM,WAG-AERO SPORT TRAINER,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,17/12/2014,612,1994,PFA 108-12647,CONTINENTAL MOTORS CORP.,C90-8F,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GMJ,ALEXANDER SCHLEICHER GMBH & CO,ASW 19 B,SAILPLANE,04/04/2019,454,1981,19335,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GMK,GLASFLUGEL ING EUGEN HANLE,STANDARD LIBELLE 201 B,SAILPLANE,28/06/2019,350,1974,509,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GMM,ALEXANDER SCHLEICHER GMBH & CO,ASW 22,SAILPLANE,29/08/2019,750,1983,22022,,,0,THE 22 GROUP,"DUBLIN,"
EI-GMO,ALEXANDER SCHLEICHER GMBH & CO,KA 6E,SAILPLANE,14/09/2017,300,1969,4307,,,0,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-GMP,ROLLADEN-SCHNEIDER OHG,LS 1-D,SAILPLANE,16/09/2019,341,1974,267,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GMR,ROLLADEN-SCHNEIDER OHG,LS 1-0,SAILPLANE,06/08/2020,312,1969,19,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GMS,ALEXANDER SCHLEICHER GMBH & CO,K 8 B,SAILPLANE,22/12/2021,310,1973,8953,,,0,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-GOD,PIPER AIRCRAFT INC,PIPER PA-28-180,LAND AEROPLANE,05/04/2019,1111,1973,28-7305478,LYCOMING,O-360-A4A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GOE,THRUSTER AIR SERVICES LTD,THRUSTER T600N 450,ANNEX I 1(E) / 450 KG,13/08/2019,450,2003,0037-T600N-090,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"KILKENNY,"
EI-GOJ,DICKINSON KN,BFC CHALLENGER II,ANNEX I 1(E) / 450 KG,30/06/2021,381,1998,PFA 177A-12694,ROTAX,503,1,PRIVATE INDIVIDUAL,"KILKENNY,"
EI-GOT,AIRBUS INDUSTRIE,A330-323,LAND AEROPLANE,11/06/2019,235000,2009,1021,PRATT & WHITNEY,PW4168A-1D,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-GOU,LEONARDO S.p.A. HELICOPTERS,AW139,ROTORCRAFT,26/06/2019,6800,2013,31501,PRATT & WHITNEY CANADA,PT6C-67C,2,LCI HELICOPTERS EIGHT LIMITED,"8th FLOOR, NORTH DOCK TWO, 93/94 NORTH WALL QUAY, DUBLIN 1,"
EI-GPF,COMCO IKARUS GMBH,IKARUS C22C,ANNEX I 1(E) / 450 KG,18/12/2019,450,1991,9107-3348,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GPJ,AIRBUS INDUSTRIE,A330-323,LAND AEROPLANE,14/11/2019,235000,2008,0965,PRATT & WHITNEY,PW4168A,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-GPM,MAGNI GYRO LIMITED,MAGNI M24,GYROCOPTER,16/08/2019,500,2018,24181154,ROTAX,914-UL,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GPN,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,09/01/2020,23000,2015,1300,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-GPO,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,28/02/2020,23000,2016,1315,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-GPP,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,15/10/2019,23000,2016,1322,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-GPR,NOBLE HARDMAN AVIATION LTD,SNOWBIRD MK.IV,ANNEX I 1(E) / 450 KG,01/12/2020,385,1988,SB-006,ROTAX,582-48-2V,1,PRIVATE INDIVIDUAL,"CLARE, GALWAY,"
EI-GPT,ROBINSON HELICOPTER COMPANY,ROBINSON R22 BETA,ROTORCRAFT,02/05/2002,621,2002,3317,LYCOMING,O-360-J2A,1,TREATY PLANT & TOOL (HIRE & SALES) LIMITED,"UNIT 1 ROXBORO ENTERPRISE CENTRE, CHILDERS ROAD, LIMERICK,"
EI-GPV,COMCO IKARUS GMBH,IKARUS C42B,ANNEX I 1(E) / 450 KG,26/08/2019,450,2009,0902-7026,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GRA,URBAN AIR S.R.O.,LAMBADA UFM-13,ANNEX I 1(E) / 450 KG,12/12/2018,472.5,2006,86-13,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LIMERICK,"
EI-GRB,PIPER AIRCRAFT INC,PIPER J3F-65,LAND AEROPLANE,15/06/2020,499,1940,4676,FRANKLIN,4AC-176,1,PRIVATE INDIVIDUAL,"DUBLIN, WATERFORD,"
EI-GRF,RAJ HAMSA X' AIR,X'AIR 582(6),ANNEX I 1(E) / 450 KG,25/11/2019,450,2000,BMAA/HB/121,ROTAX,582-48-2V,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GRG,SAUPER,J300 JOKER,ANNEX I 1(E) / 450 KG,21/01/2020,450,2006,S4T001,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"CORK,"
EI-GRH,COMCO IKARUS GMBH,IKARUS C42B,ANNEX I 1(E) / 450 KG,14/10/2019,472.5,2004,0407-6613,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-GRI,ICP s.r.l.,SAVANNAH S,ANNEX I 1(E) / 450 KG,08/01/2020,450,2019,19-10-54-0692,ROTAX,912-ULS,1,PJ PILING CONTRACTS LIMITED,"DRUMGURRA, CORDUFF, CARRICKMACROSS, CO. MONAGHAN,"
EI-GRJ,THE BOEING COMPANY,BOEING 737-81M,LAND AEROPLANE,20/12/2019,79015,2009,37161,CFM,CFM56-7B26/3,2,MACQUARIE AEROSPACE IRELAND LIMITED,"1st FLOOR, CONNAUGHT HOUSE, 1 BURLINGTON ROAD, DUBLIN 4,"
EI-GRM,DIAMOND AIRCRAFT INDUSTRIES GmbH,DA 42 M-NG,LAND AEROPLANE,07/04/2021,1999,2015,42.MN051,AUSTRO ENGINE GmbH,E4,2,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-GRN,DIAMOND AIRCRAFT INDUSTRIES GmbH,DA 42 M-NG,LAND AEROPLANE,28/03/2022,1900,2011,42.N034,AUSTRO ENGINE GmbH,E4-B,2,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD, CORK,"
EI-GRR,AVIONS PIERRE ROBIN,PIERRE ROBIN DR 400/180,LAND AEROPLANE,01/06/2023,1100,1990,1949,LYCOMING,O-360-A3A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GRU,PIPER AIRCRAFT INC,PIPER PA-30,LAND AEROPLANE,23/09/2022,1633,1967,30-1415,LYCOMING,IO-320-C1A,2,PRIVATE INDIVIDUAL,"SLIGO,"
EI-GRV,VANS,VANS RV-7,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,21/01/2020,816,2008,72782,LYCOMING,IO-360-MIB,1,PRIVATE INDIVIDUAL,"DUBLIN, MEATH,"
EI-GRW,ATELIERS AERONAUTIQUE ROUSSEAU,PIEL CP301B,LAND AEROPLANE,12/11/2020,665,1959,117,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-GRY,MOONEY AIRPLANE COMPANY INC.,M20R,LAND AEROPLANE,02/12/2020,1528,1995,29-0045,TELEDYNE CONTINENTAL MOTORS,IO-550-G,1,DK.INNOVATION LIMITED,"6-9 TRINITY STREET, DUBLIN 2,"
EI-GSG,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,21/09/2018,66990,2018,44849,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GSH,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,29/09/2018,66990,2018,44846,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GSI,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,27/09/2018,66990,2018,44848,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GSJ,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,27/09/2018,66990,2018,44854,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GSK,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,28/09/2018,66990,2018,44855,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GSM,CESSNA AIRCRAFT COMPANY,CESSNA 182S,LAND AEROPLANE,26/11/2001,1411,1998,18280188,LYCOMING,IO-540-AB1A5,1,WESTPOINT FLYING GROUP LIMITED,"WILTON PARK HOUSE, WILTON PLACE, DUBLIN 2,"
EI-GSS,P AND M AVIATION LTD,MAINAIR BLADE 912,ANNEX I 1(E) / 450 KG,11/02/2022,390,1998,1154-0498-7-W957,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-GST,LITTLEWING AUTOGYROS INC,LW3,GYROCOPTER,02/06/2020,341,2020,031,ROTAX,582 UL,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GSU,P AND M AVIATION LTD,QUIK GT450,ANNEX I 1(E) / 450 KG,16/03/2020,450,2007,8275,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-GTB,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,07/07/2020,600,2020,20.02.540712,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-GTC,AVIONS PIERRE ROBIN,PIERRE ROBIN HR200/120B,LAND AEROPLANE,21/12/2020,780,1993,257,LYCOMING,O-235-L2A,1,NOGARO LIMITED,"DENSHAW HOUSE, 120/121 BAGGOT STREET LOWER, DUBLIN 2,"
EI-GTX,SKYRANGER,SKYRANGER 912(2),ANNEX I 1(E) / HOMEBUILD 450 KG,23/09/2020,450,2015,BMAA/HB/675,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"CAVAN,"
EI-GUA,THE BOEING COMPANY,BOEING 737-490,LAND AEROPLANE,22/12/2020,65090,1998,28888,CFM,CFM56-3C1,2,AIRCRAFT 23810 QC HOLDINGS LIMITED,"26 PEMBROKE STREET UPPER, DUBLIN 2,"
EI-GUB,THE BOEING COMPANY,BOEING 737-490,LAND AEROPLANE,27/01/2021,65090,1998,28889,CFM,CFM56-3C1,2,AIRCRAFT 23810 QC HOLDINGS LIMITED,"26 PEMBROKE STREET UPPER, DUBLIN 2,"
EI-GUI,ROBINSON HELICOPTER COMPANY,ROBINSON R44,ROTORCRAFT,18/11/2020,1089,2020,2625,LYCOMING,O-540-F1B5,1,ALCHEMIST AVIATION LIMITED,"16 FITZWILLIAM SQUARE EAST, DUBLIN 2,"
EI-GUL,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,16/12/2020,22800,2020,1653,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-GUM,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,05/01/2022,22800,2021,1717,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-GUO,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,01/07/2022,22800,2022,1722,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-GUP,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,05/01/2022,22800,2021,1700,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-GUR,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,04/08/2022,22800,2022,1727,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-GUZ,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,22/12/2020,600,2020,20-11-54-0744,ROTAX,912-ULS,1,FUNFLY AEROSPORTS FLYING CLUB COMPANY LIMITED BY GUARANTEE,"VILLA MARIA 3 BEECHWOOD, BRACKNAGH , RATHANGAN, CO. OFFALY,"
EI-GVB,PIPER AIRCRAFT INC,PIPER PA-28-140,LAND AEROPLANE,31/12/2020,975,1973,28-7325409,LYCOMING,O-320-E3D,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GVC,AEROSPOOL SPOL S.R.O.,WT9 DYNAMIC LSA CLUB,LAND AEROPLANE,15/12/2020,600,2018,18003,ROTAX,912-ULS-2,1,PRIVATE INDIVIDUAL,"CLARE, MAYO,"
EI-GVE,AIRBORNE WINDSPORTS PTY LTD,EDGE XT-912 L-SST,ANNEX I 1(E) / 450 KG,09/09/2021,450,2011,XT912-354,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"CARLOW,"
EI-GVG,ROCKWELL INTERNATIONAL CORPORATION,ROCKWELL COMMANDER 112,LAND AEROPLANE,23/12/2020,1202,1974,227,LYCOMING,IO-360-C1D6,1,SYLPH AVIATION LIMITED,"13 MARWOOD CLOSE, RIVERSTOWN , GLANMIRE, CORK,"
EI-GVH,AIRBUS INDUSTRIE,A330-243,LAND AEROPLANE,25/01/2021,233000,2002,0456,ROLLS-ROYCE PLC,RB211 TRENT 772B-60,2,THUNDERBOLT LEASING LIMITED,"UNIT J, BLOCK 1, SHANNON BUSINESS PARK, SHANNON, CO. CLARE,"
EI-GVM,ROBINSON HELICOPTER COMPANY,ROBINSON R22 BETA,ROTORCRAFT,03/09/2010,621,1997,2711,LYCOMING,O-360-J2A,1,PRIVATE INDIVIDUAL,"DONEGAL,"
